# dx	dy
8.239890635013580322e-02 1.190000250935554504e-01
8.202846348285675049e-02 1.185060366988182068e-01
8.165864646434783936e-02 1.180126518011093140e-01
8.128945529460906982e-02 1.175198853015899658e-01
8.092088997364044189e-02 1.170277148485183716e-01
8.055295050144195557e-02 1.165361553430557251e-01
8.018563687801361084e-02 1.160451993346214294e-01
7.981894910335540771e-02 1.155548542737960815e-01
7.945287972688674927e-02 1.150651127099990845e-01
7.908744364976882935e-02 1.145759746432304382e-01
7.872263342142105103e-02 1.140874400734901428e-01
7.835844159126281738e-02 1.135995090007781982e-01
7.799487560987472534e-02 1.131121814250946045e-01
7.763192802667617798e-02 1.126254573464393616e-01
7.726960629224777222e-02 1.121393293142318726e-01
7.690791040658950806e-02 1.116538122296333313e-01
7.654683291912078857e-02 1.111688911914825439e-01
7.618637382984161377e-02 1.106845736503601074e-01
7.582654058933258057e-02 1.102008596062660217e-01
7.546732574701309204e-02 1.097177416086196899e-01
7.510872930288314819e-02 1.092352271080017090e-01
7.475075870752334595e-02 1.087533086538314819e-01
7.439340651035308838e-02 1.082719936966896057e-01
7.403666526079177856e-02 1.077912747859954834e-01
7.368054986000061035e-02 1.073111519217491150e-01
7.332505285739898682e-02 1.068316325545310974e-01
7.297017425298690796e-02 1.063527092337608337e-01
7.261591404676437378e-02 1.058743819594383240e-01
7.226226478815078735e-02 1.053966507315635681e-01
7.190924137830734253e-02 1.049195155501365662e-01
7.155682891607284546e-02 1.044429689645767212e-01
7.120502740144729614e-02 1.039670258760452271e-01
7.085385173559188843e-02 1.034916788339614868e-01
7.050328701734542847e-02 1.030169203877449036e-01
7.015333324670791626e-02 1.025427579879760742e-01
6.980399787425994873e-02 1.020691916346549988e-01
6.945527344942092896e-02 1.015962213277816772e-01
6.910716742277145386e-02 1.011238396167755127e-01
6.875967234373092651e-02 1.006520465016365051e-01
6.841279566287994385e-02 1.001808494329452515e-01
6.806652247905731201e-02 9.971024096012115479e-02
6.772086769342422485e-02 9.924022853374481201e-02
6.737582385540008545e-02 9.877080470323562622e-02
6.703138351440429688e-02 9.830196946859359741e-02
6.668756157159805298e-02 9.783372282981872559e-02
6.634435057640075684e-02 9.736607223749160767e-02
6.600175052881240845e-02 9.689900279045104980e-02
6.565975397825241089e-02 9.643252193927764893e-02
6.531837582588195801e-02 9.596663713455200195e-02
6.497760117053985596e-02 9.550133347511291504e-02
6.463743001222610474e-02 9.503661841154098511e-02
6.429787725210189819e-02 9.457249194383621216e-02
6.395892798900604248e-02 9.410894662141799927e-02
6.362058222293853760e-02 9.364598989486694336e-02
6.328284740447998047e-02 9.318362176418304443e-02
6.294572353363037109e-02 9.272183477878570557e-02
6.260920315980911255e-02 9.226063638925552368e-02
6.227328628301620483e-02 9.180001914501190186e-02
6.193797290325164795e-02 9.133998304605484009e-02
6.160327047109603882e-02 9.088053554296493530e-02
6.126916781067848206e-02 9.042166918516159058e-02
6.093567237257957458e-02 8.996338397264480591e-02
6.060278043150901794e-02 8.950567990541458130e-02
6.027049198746681213e-02 8.904856443405151367e-02
5.993880704045295715e-02 8.859202265739440918e-02
5.960772559046745300e-02 8.813606947660446167e-02
5.927724391222000122e-02 8.768068999052047729e-02
5.894736573100090027e-02 8.722589164972305298e-02
5.861809104681015015e-02 8.677167445421218872e-02
5.828941240906715393e-02 8.631803095340728760e-02
5.796134099364280701e-02 8.586497604846954346e-02
5.763386562466621399e-02 8.541249483823776245e-02
5.730699375271797180e-02 8.496058732271194458e-02
5.698071792721748352e-02 8.450926095247268677e-02
5.665504187345504761e-02 8.405850827693939209e-02
5.632996559143066406e-02 8.360833674669265747e-02
5.600548908114433289e-02 8.315873891115188599e-02
5.568160861730575562e-02 8.270972222089767456e-02
5.535832792520523071e-02 8.226127177476882935e-02
5.503564327955245972e-02 8.181340247392654419e-02
5.471355840563774109e-02 8.136610686779022217e-02
5.439206585288047791e-02 8.091938495635986328e-02
5.407117307186126709e-02 8.047323673963546753e-02
5.375087261199951172e-02 8.002766221761703491e-02
5.343117192387580872e-02 7.958265393972396851e-02
5.311206355690956116e-02 7.913822680711746216e-02
5.279354751110076904e-02 7.869436591863632202e-02
5.247562751173973083e-02 7.825107872486114502e-02
5.215830355882644653e-02 7.780836522579193115e-02
5.184157192707061768e-02 7.736621797084808350e-02
5.152543261647224426e-02 7.692464441061019897e-02
5.120988562703132629e-02 7.648363709449768066e-02
5.089493095874786377e-02 7.604320347309112549e-02
5.058056861162185669e-02 7.560333609580993652e-02
5.026679858565330505e-02 7.516403496265411377e-02
4.995362088084220886e-02 7.472530752420425415e-02
4.964103177189826965e-02 7.428713887929916382e-02
4.932903125882148743e-02 7.384954392910003662e-02
4.901762306690216064e-02 7.341251522302627563e-02
4.870680719614028931e-02 7.297605276107788086e-02
4.839657619595527649e-02 7.254015654325485229e-02
4.808693379163742065e-02 7.210482656955718994e-02
4.777788370847702026e-02 7.167006283998489380e-02
4.746941849589347839e-02 7.123585790395736694e-02
4.716154187917709351e-02 7.080221921205520630e-02
4.685425013303756714e-02 7.036914676427841187e-02
4.654754698276519775e-02 6.993664056062698364e-02
4.624143242835998535e-02 6.950469315052032471e-02
4.593590274453163147e-02 6.907330453395843506e-02
4.563095793128013611e-02 6.864248216152191162e-02
4.532659798860549927e-02 6.821222603321075439e-02
4.502282291650772095e-02 6.778252869844436646e-02
4.471963271498680115e-02 6.735339015722274780e-02
4.441702738404273987e-02 6.692481040954589844e-02
4.411500692367553711e-02 6.649678945541381836e-02
4.381356760859489441e-02 6.606933474540710449e-02
4.351271316409111023e-02 6.564243137836456299e-02
4.321243986487388611e-02 6.521609425544738770e-02
4.291274771094322205e-02 6.479030847549438477e-02
4.261364042758941650e-02 6.436508893966674805e-02
4.231511056423187256e-02 6.394042074680328369e-02
4.201716557145118713e-02 6.351631134748458862e-02
4.171979799866676331e-02 6.309276074171066284e-02
4.142301157116889954e-02 6.266976147890090942e-02
4.112680628895759583e-02 6.224732100963592529e-02
4.083117842674255371e-02 6.182543560862541199e-02
4.053613170981407166e-02 6.140410527586936951e-02
4.024166241288185120e-02 6.098332628607749939e-02
3.994777426123619080e-02 6.056310608983039856e-02
3.965445980429649353e-02 6.014343723654747009e-02
3.936172649264335632e-02 5.972431972622871399e-02
3.906956687569618225e-02 5.930575728416442871e-02
3.877798467874526978e-02 5.888774618506431580e-02
3.848697990179061890e-02 5.847029015421867371e-02
3.819655254483222961e-02 5.805338174104690552e-02
3.790669888257980347e-02 5.763702839612960815e-02
3.761741891503334045e-02 5.722122266888618469e-02
3.732871636748313904e-02 5.680596828460693359e-02
3.704058751463890076e-02 5.639126151800155640e-02
3.675303235650062561e-02 5.597710609436035156e-02
3.646605089306831360e-02 5.556349828839302063e-02
3.617964312434196472e-02 5.515044182538986206e-02
3.589380905032157898e-02 5.473793298006057739e-02
3.560854494571685791e-02 5.432596802711486816e-02
3.532385453581809998e-02 5.391455441713333130e-02
3.503973409533500671e-02 5.350368469953536987e-02
3.475618734955787659e-02 5.309336259961128235e-02
3.447321057319641113e-02 5.268358811736106873e-02
3.419080376625061035e-02 5.227435752749443054e-02
3.390896692872047424e-02 5.186567083001136780e-02
3.362770006060600281e-02 5.145753175020217896e-02
3.334700316190719604e-02 5.104993656277656555e-02
3.306687250733375549e-02 5.064288526773452759e-02
3.278731554746627808e-02 5.023637413978576660e-02
3.250832110643386841e-02 4.983041062951087952e-02
3.222990036010742188e-02 4.942498728632926941e-02
3.195204213261604309e-02 4.902010411024093628e-02
3.167475387454032898e-02 4.861576482653617859e-02
3.139802813529968262e-02 4.821196570992469788e-02
3.112187236547470093e-02 4.780871048569679260e-02
3.084628283977508545e-02 4.740599170327186584e-02
3.057125769555568695e-02 4.700381681323051453e-02
3.029679693281650543e-02 4.660217836499214172e-02
3.002290055155754089e-02 4.620108380913734436e-02
2.974956855177879333e-02 4.580052196979522705e-02
2.947680279612541199e-02 4.540050402283668518e-02
2.920459769666194916e-02 4.500101879239082336e-02
2.893295697867870331e-02 4.460207372903823853e-02
2.866187877953052521e-02 4.420366510748863220e-02
2.839136309921741486e-02 4.380579292774200439e-02
2.812140993773937225e-02 4.340845718979835510e-02
